1	4585	6366372	6361771	4585	4602	95.46	6854980	6487135	0.07	0.07	NC_030986.1	NC_072840.1
5106	5803	6361250	6360553	698	698	97.56	6854980	6487135	0.01	0.01	NC_030986.1	NC_072840.1
5951	12194	6360500	6354243	6244	6258	96.42	6854980	6487135	0.09	0.10	NC_030986.1	NC_072840.1
33863	44150	6336691	6326413	10288	10279	96.47	6854980	6487135	0.15	0.16	NC_030986.1	NC_072840.1
44460	48326	6326419	6322497	3867	3923	97.04	6854980	6487135	0.06	0.06	NC_030986.1	NC_072840.1
48323	52913	6321108	6316548	4591	4561	98.04	6854980	6487135	0.07	0.07	NC_030986.1	NC_072840.1
55298	59933	6316550	6311905	4636	4646	96.11	6854980	6487135	0.07	0.07	NC_030986.1	NC_072840.1
60167	61197	6309421	6308391	1031	1031	94.57	6854980	6487135	0.02	0.02	NC_030986.1	NC_072840.1
61993	62663	6308382	6307708	671	675	93.63	6854980	6487135	0.01	0.01	NC_030986.1	NC_072840.1
62667	75748	6303485	6290400	13082	13086	97.85	6854980	6487135	0.19	0.20	NC_030986.1	NC_072840.1
76401	93605	6290414	6273224	17205	17191	98.06	6854980	6487135	0.25	0.27	NC_030986.1	NC_072840.1
107482	108078	6271704	6271107	597	598	89.15	6854980	6487135	0.01	0.01	NC_030986.1	NC_072840.1
108078	115999	6270641	6262736	7922	7906	96.16	6854980	6487135	0.12	0.12	NC_030986.1	NC_072840.1
117249	119959	6252143	6249431	2711	2713	96.28	6854980	6487135	0.04	0.04	NC_030986.1	NC_072840.1
124223	125093	6243011	6242155	871	857	91.51	6854980	6487135	0.01	0.01	NC_030986.1	NC_072840.1
126839	129074	6241875	6239637	2236	2239	97.28	6854980	6487135	0.03	0.03	NC_030986.1	NC_072840.1
129275	136855	6239558	6231976	7581	7583	98.13	6854980	6487135	0.11	0.12	NC_030986.1	NC_072840.1
136857	140171	6231830	6228514	3315	3317	95.94	6854980	6487135	0.05	0.05	NC_030986.1	NC_072840.1
140690	144352	6225323	6221649	3663	3675	96.63	6854980	6487135	0.05	0.06	NC_030986.1	NC_072840.1
147089	153691	6221651	6215049	6603	6603	95.53	6854980	6487135	0.10	0.10	NC_030986.1	NC_072840.1
153848	154025	2931480	2931664	178	185	88.65	6854980	5611497	0.00	0.00	NC_030986.1	NC_072841.1
153875	154057	2041819	2041636	183	184	88.04	6854980	4731052	0.00	0.00	NC_030986.1	NC_072843.1
154059	154139	43760	43840	81	81	96.30	6854980	5151772	0.00	0.00	NC_030986.1	NC_072842.1
154135	154253	131673	131791	119	119	92.44	6854980	3716460	0.00	0.00	NC_030986.1	NC_072847.1
154908	156995	202693	204780	2088	2088	84.86	6854980	4300638	0.03	0.05	NC_030986.1	NC_072845.1
156859	160862	2832796	2836804	4004	4009	88.51	6854980	2853886	0.06	0.14	NC_030986.1	NC_072850.1
161212	161345	357102	356969	134	134	93.28	6854980	3716460	0.00	0.00	NC_030986.1	NC_072847.1
161973	162899	692024	691098	927	927	88.00	6854980	3716460	0.01	0.02	NC_030986.1	NC_072847.1
