1	5803	127191	132992	5803	5802	99.98	6854980	6551299	0.08	0.09	NC_030986.1	CM012187.1
5951	12511	133045	139607	6561	6563	99.94	6854980	6551299	0.10	0.10	NC_030986.1	CM012187.1
33863	75748	157831	199711	41886	41881	99.98	6854980	6551299	0.61	0.64	NC_030986.1	CM012187.1
76401	129074	199697	252372	52674	52676	99.98	6854980	6551299	0.77	0.80	NC_030986.1	CM012187.1
129275	162899	252451	286067	33625	33617	99.94	6854980	6551299	0.49	0.51	NC_030986.1	CM012187.1
163586	216308	286088	338784	52723	52697	99.77	6854980	6551299	0.77	0.80	NC_030986.1	CM012187.1
216954	240836	338768	362639	23883	23872	99.91	6854980	6551299	0.35	0.36	NC_030986.1	CM012187.1
243297	274794	364782	396276	31498	31495	99.96	6854980	6551299	0.46	0.48	NC_030986.1	CM012187.1
275032	288195	396493	409654	13164	13162	99.98	6854980	6551299	0.19	0.20	NC_030986.1	CM012187.1
288043	438830	414898	565666	150788	150769	99.97	6854980	6551299	2.20	2.30	NC_030986.1	CM012187.1
438970	539794	565793	666626	100825	100834	99.97	6854980	6551299	1.47	1.54	NC_030986.1	CM012187.1
539941	577955	666757	704768	38015	38012	99.98	6854980	6551299	0.55	0.58	NC_030986.1	CM012187.1
578148	637619	704960	764426	59472	59467	99.98	6854980	6551299	0.87	0.91	NC_030986.1	CM012187.1
638790	640417	765686	767312	1628	1627	99.94	6854980	6551299	0.02	0.02	NC_030986.1	CM012187.1
640737	642387	767489	769139	1651	1651	99.88	6854980	6551299	0.02	0.03	NC_030986.1	CM012187.1
643088	691454	769546	817908	48367	48363	99.99	6854980	6551299	0.71	0.74	NC_030986.1	CM012187.1
691581	737649	818017	864080	46069	46064	99.93	6854980	6551299	0.67	0.70	NC_030986.1	CM012187.1
738266	764513	864501	890738	26248	26238	99.90	6854980	6551299	0.38	0.40	NC_030986.1	CM012187.1
764681	847960	890839	974082	83280	83244	99.88	6854980	6551299	1.21	1.27	NC_030986.1	CM012187.1
848100	855774	974239	981913	7675	7675	99.96	6854980	6551299	0.11	0.12	NC_030986.1	CM012187.1
856350	937471	982450	1063505	81122	81056	99.89	6854980	6551299	1.18	1.24	NC_030986.1	CM012187.1
937971	973717	1064072	1099801	35747	35730	99.82	6854980	6551299	0.52	0.55	NC_030986.1	CM012187.1
973872	1025821	1099950	1151898	51950	51949	99.99	6854980	6551299	0.76	0.79	NC_030986.1	CM012187.1
1026042	1062598	1152116	1188673	36557	36558	99.99	6854980	6551299	0.53	0.56	NC_030986.1	CM012187.1
1062724	1123970	1188782	1250027	61247	61246	99.98	6854980	6551299	0.89	0.93	NC_030986.1	CM012187.1
1127153	1137952	1253393	1264191	10800	10799	99.99	6854980	6551299	0.16	0.16	NC_030986.1	CM012187.1
1138110	1157906	1264338	1284134	19797	19797	99.98	6854980	6551299	0.29	0.30	NC_030986.1	CM012187.1
1158045	1243454	1284143	1369539	85410	85397	99.98	6854980	6551299	1.25	1.30	NC_030986.1	CM012187.1
1244348	1268316	1370481	1394446	23969	23966	99.98	6854980	6551299	0.35	0.37	NC_030986.1	CM012187.1
1268967	1396925	1394431	1522361	127959	127931	99.92	6854980	6551299	1.87	1.95	NC_030986.1	CM012187.1
1397117	1400314	1522492	1525688	3198	3197	99.97	6854980	6551299	0.05	0.05	NC_030986.1	CM012187.1
1401055	1474366	1526266	1599570	73312	73305	99.99	6854980	6551299	1.07	1.12	NC_030986.1	CM012187.1
1474365	1488438	1601431	1615504	14074	14074	99.96	6854980	6551299	0.21	0.21	NC_030986.1	CM012187.1
